state_ut_code,constituency_code,constituency_name,candidate_name,candidate_party,total_votes
U01,1,Andaman&NicobarIslands,BISHNU PADA RAY,Bharatiya Janata Party,102436
U01,1,Andaman&NicobarIslands,KULDEEP RAI SHARMA,Indian National Congress,78040
U01,1,Andaman&NicobarIslands,MANOJ PAUL,Andaman Nicobar Democratic Congress,8254
U01,1,Andaman&NicobarIslands,D AYYAPPAN,Communist Party of India  (Marxist),6017
U01,1,Andaman&NicobarIslands,V.K. ABDUL AZIZ,Independent,2203
U01,1,Andaman&NicobarIslands,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,914
U01,1,Andaman&NicobarIslands,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,719
U01,1,Andaman&NicobarIslands,RINKU MALA MONDAL,Independent,542
U01,1,Andaman&NicobarIslands,K VENKAT RAM BABU,Independent,507
U01,1,Andaman&NicobarIslands,USHA KUMARI,Independent,380
U01,1,Andaman&NicobarIslands,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),351
U01,1,Andaman&NicobarIslands,ANAND RAMNATH ARLEKAR,Independent,342
U01,1,Andaman&NicobarIslands,NOTA,None of the Above,1809
S01,7,Amalapuram(SC),G M HARISH (BALAYOGI),Telugu Desam,796981
S01,7,Amalapuram(SC),RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785
S01,7,Amalapuram(SC),GOUTHAM JANGA,Indian National Congress,15082
S01,7,Amalapuram(SC),DORABABU YALLA,Bahujan Samaj Party,5388
S01,7,Amalapuram(SC),KATRU NAGA BABU,Telugu Nava Garjana Party,3741
S01,7,Amalapuram(SC),VADDI LALITH KUMAR,Independent,2977
S01,7,Amalapuram(SC),MAKEY DAVY PRASAD,Independent,2111
S01,7,Amalapuram(SC),GUDE VENKATESWARULU,Independent,1745
S01,7,Amalapuram(SC),RAMESH JILLELLA,Jatiya Jana Sena Party,872
S01,7,Amalapuram(SC),YALANGI RAMESH,Jaibhim Rao Bharat Party,740
S01,7,Amalapuram(SC),MATHA KRISHNA,Pyramid Party of India,719
S01,7,Amalapuram(SC),GIDDI JNANA PRAKASA RAO,Republican Party of India,726
S01,7,Amalapuram(SC),YADLA RAJESH,Liberation Congress Party,635
S01,7,Amalapuram(SC),KAPA KALYAN,Republican Party of India (A),581
S01,7,Amalapuram(SC),PATHURI RAMESH,Peoples Party of India (Democratic),505
S01,7,Amalapuram(SC),NOTA,None of the Above,13518
S01,5,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,762069
S01,5,Anakapalle,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,465539
S01,5,Anakapalle,VEGI VENKATESH,Indian National Congress,25651
S01,5,Anakapalle,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19157
S01,5,Anakapalle,VANKAYALA RAMACHANDRA RAO,Independent,4002
S01,5,Anakapalle,LOVARAJU SIDDHA,Independent,3852
S01,5,Anakapalle,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3557
S01,5,Anakapalle,GARA SURYA RAO,Independent,3124
S01,5,Anakapalle,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2619
S01,5,Anakapalle,NAGESWARA RAO PETLA,Independent,2184
S01,5,Anakapalle,ADARI SARAT CHANDRA,Jai Bharat National Party,1913
S01,5,Anakapalle,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1591
S01,5,Anakapalle,DR. THUMMAPALA HARI  SHANKAR,Independent,1576
S01,5,Anakapalle,JUNNURI J SRINIVAS,Independent,1201
S01,5,Anakapalle,APPALANAIDU TUMMAGUNTA,Independent,1062
S01,5,Anakapalle,NOTA,None of the Above,26235
S01,19,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245
S01,19,Ananthapur,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,579690
S01,19,Ananthapur,MALLIKARJUNA VAJJALA,Indian National Congress,43217
S01,19,Ananthapur,G.V.RAMANA REDDY,Independent,6439
S01,19,Ananthapur,BANASI NARAYANAPPA,Bahujan Samaj Party,6396
S01,19,Ananthapur,V.MURALI PRASAD REDDY,Independent,5778
S01,19,Ananthapur,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4989
S01,19,Ananthapur,M.SURENDRA,Pyramid Party of India,2935
S01,19,Ananthapur,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2540
S01,19,Ananthapur,P.CHOWDESWARI,Independent,1518
S01,19,Ananthapur,VADLA KESAVAIAH,Independent,1494
S01,19,Ananthapur,B.RAGHAVENDRA PRASAD,Independent,1318
S01,19,Ananthapur,KETHIREDDY RAGHUNATHAREDDY,Independent,1091
S01,19,Ananthapur,LOKANATH GOWD SURAGOWINI,Independent,1091
S01,19,Ananthapur,SREERANGARAJULA GOPINATH ROYAL,Independent,904
S01,19,Ananthapur,SHAIK.NIZAM,Samajwadi Party,753
S01,19,Ananthapur,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,745
S01,19,Ananthapur,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,578
S01,19,Ananthapur,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),570
S01,19,Ananthapur,SRINIVASA RAJU.O,Bhartiya Panchyat Party,494
S01,19,Ananthapur,DURGA PRASAD D BYATARAYANAJI,Challengers Party,444
S01,19,Ananthapur,NOTA,None of the Above,9199
S01,1,Araku(ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005
S01,1,Araku(ST),KOTHAPALLI GEETHA,Bharatiya Janata Party,426425
S01,1,Araku(ST),APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),123129
S01,1,Araku(ST),AVASHYA LAHARI . VARAM,Bahujan Samaj Party,25750
S01,1,Araku(ST),SAMAREDDY BALAKRISHNA,Independent,9535
S01,1,Araku(ST),NIMMAKA JAYARAJU,Independent,9462
S01,1,Araku(ST),ATHIDHI,Independent,8136
S01,1,Araku(ST),CHANTI BADNAINA,Jai Bharat National Party,7252
S01,1,Araku(ST),MOTTADAM . RAJABABU,Bharat Adivasi Party,6766
S01,1,Araku(ST),RANJITH KUMAR PALAKA,Independent,6047
S01,1,Araku(ST),RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4959
S01,1,Araku(ST),MANDALA GIRIDHARA RAO,Independent,4967
S01,1,Araku(ST),VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4542
S01,1,Araku(ST),NOTA,None of the Above,50470
S01,15,Bapatla(SC),KRISHNA PRASAD TENNETI,Telugu Desam,717493
S01,15,Bapatla(SC),NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,509462
S01,15,Bapatla(SC),J.D. SEELAM,Indian National Congress,43259
S01,15,Bapatla(SC),DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6857
