name_of_state_or_ut,type,state_ut_code,constituency_code,constituency_name,candidate_name,candidate_party,total_votes
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,BISHNU PADA RAY,Bharatiya Janata Party,102436
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,KULDEEP RAI SHARMA,Indian National Congress,78040
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,MANOJ PAUL,Andaman Nicobar Democratic Congress,8254
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,D AYYAPPAN,Communist Party of India  (Marxist),6017
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,V.K. ABDUL AZIZ,Independent,2203
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,914
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,719
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,RINKU MALA MONDAL,Independent,542
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,K VENKAT RAM BABU,Independent,507
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,USHA KUMARI,Independent,380
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),351
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,ANAND RAMNATH ARLEKAR,Independent,342
Andaman & Nicobar Islands,Union Territory,U01,1,Andaman&NicobarIslands,NOTA,None of the Above,1809
Andhra Pradesh,State,S01,7,Amalapuram(SC),G M HARISH (BALAYOGI),Telugu Desam,796981
Andhra Pradesh,State,S01,7,Amalapuram(SC),RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785
Andhra Pradesh,State,S01,7,Amalapuram(SC),GOUTHAM JANGA,Indian National Congress,15082
Andhra Pradesh,State,S01,7,Amalapuram(SC),DORABABU YALLA,Bahujan Samaj Party,5388
Andhra Pradesh,State,S01,7,Amalapuram(SC),KATRU NAGA BABU,Telugu Nava Garjana Party,3741
Andhra Pradesh,State,S01,7,Amalapuram(SC),VADDI LALITH KUMAR,Independent,2977
